overlap_45/OC4_TK/OC4_TK.log:2021-04-03 00:57:41,293 - INFO - All done! Scheme created with 19 regions, 4 gaps, 89.39% coverage
overlap_45/OC5_TK/OC5_TK.log:2021-04-03 00:58:05,613 - INFO - All done! Scheme created with 28 regions, 10 gaps, 87.99% coverage
overlap_45/OC6_TK/OC6_TK.log:2021-04-03 00:58:30,331 - INFO - All done! Scheme created with 27 regions, 11 gaps, 85.02% coverage
overlap_45/PCK_TK/PCK_TK.log:2021-04-03 00:58:34,468 - INFO - All done! Scheme created with 4 regions, 1 gap, 68.85% coverage
overlap_45/PEC2_TK/PEC2_TK.log:2021-04-03 00:58:41,290 - INFO - All done! Scheme created with 8 regions, 3 gaps, 77.19% coverage
overlap_45/PIRL_TK/PIRL_TK.log:2021-04-03 00:58:48,992 - INFO - All done! Scheme created with 9 regions, 3 gaps, 75.39% coverage
overlap_45/PK1_TK/PK1_TK.log:2021-04-03 00:58:52,727 - INFO - All done! Scheme created with 4 regions, 1 gap, 50.27% coverage
overlap_45/PMEI_TK/PMEI_TK.log:2021-04-03 00:59:00,940 - INFO - All done! Scheme created with 10 regions, 4 gaps, 75.97% coverage
overlap_45/PMIP1B_TK/PMIP1B_TK.log:2021-04-03 00:59:06,125 - INFO - All done! Scheme created with 6 regions, 1 gap, 79.32% coverage
overlap_45/PP2A-3_TK/PP2A-3_TK.log:2021-04-03 00:59:19,238 - INFO - All done! Scheme created with 15 regions, 6 gaps, 81.39% coverage
overlap_45/PPMK1_TK/PPMK1_TK.log:2021-04-03 00:59:28,232 - INFO - All done! Scheme created with 10 regions, 0 gaps, 84.4% coverage
